"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
118, 7.736840017812574e-01, 2.695519622042741e-01, 1.779373452435735e+05, 1.237100718151960e-01, 2.330374872707432e+00
119, 7.855259452269533e-01, 2.722341570075951e-01, 1.773622443987532e+05, 1.227972133313543e-01, 2.334567281133211e+00
120, 7.974477671387687e-01, 2.749215570340249e-01, 1.767773506261396e+05, 1.218688105176819e-01, 2.338764549074616e+00
121, 8.094493339380565e-01, 2.776137852845073e-01, 1.761827539206633e+05, 1.209250062232751e-01, 2.342967701094813e+00
122, 8.215305133753572e-01, 2.803104739346957e-01, 1.755789543474435e+05, 1.199665942022913e-01, 2.347176464251383e+00
123, 8.336911745063502e-01, 2.830112786850550e-01, 1.749670222102687e+05, 1.189952733496329e-01, 2.351388698377321e+00
124, 8.459311876684327e-01, 2.857158976725864e-01, 1.743487695465269e+05, 1.180139199151221e-01, 2.355599758632539e+00
125, 8.582504244579044e-01, 2.884240937945317e-01, 1.737268842118297e+05, 1.170268003362376e-01, 2.359801947359911e+00
126, 8.706487577077391e-01, 2.911357167868518e-01, 1.731049406102863e+05, 1.160395882702957e-01, 2.363984348706843e+00
127, 8.831260614659217e-01, 2.938507176537352e-01, 1.724871618230335e+05, 1.150589870206882e-01, 2.368133491852088e+00
